IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.200.159,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,185,10.26
140.238.54.164,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,87,10.25
132.145.121.242,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,135,10.24
150.230.216.34,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,146,10.23
168.138.202.169,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,83,10.23
168.138.206.109,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,127,10.22
150.230.101.13,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,257,10.22
150.230.208.113,80,80,FALSE,SIN,Asia Pacific,Singapore,203,10.22
158.178.193.75,80,80,FALSE,CDG,Europe,Paris,257,10.2
132.145.121.175,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,191,10.2
158.101.155.158,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,173,10.19
150.230.208.113,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,145,10.19
131.186.37.191,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,145,10.19
158.101.144.34,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,145,10.17
150.230.217.63,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,146,10.17
152.70.106.185,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,73,10.17
151.145.69.105,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,131,10.16
158.101.149.71,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,90,10.15
131.186.37.191,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,186,10.12
131.186.59.94,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,159,10.1
141.147.72.40,443,443,TRUE,FRA,Europe,Frankfurt,189,10.09
150.230.201.63,8080,8080,FALSE,NRT,Asia Pacific,Tokyo,80,10.08
151.145.68.166,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,198,10.08
158.101.150.126,80,80,FALSE,HKG,Asia Pacific,Hong Kong,142,10.07
130.162.167.60,443,443,TRUE,FRA,Europe,Frankfurt,189,10.07
168.138.205.38,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,138,10.06
131.186.40.31,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,138,10.06
143.47.241.26,443,0,TRUE,FRA,Europe,Frankfurt,184,10.06
129.146.46.164,443,443,TRUE,LAX,North America,Los Angeles,211,10.06
132.145.114.14,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,192,10.06
131.186.62.26,8080,8080,FALSE,SIN,Asia Pacific,Singapore,153,10.05
158.101.140.255,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,204,10.04
151.145.74.56,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,177,10.04
158.101.142.103,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,195,10.04
144.24.169.81,2053,443,TRUE,FRA,Europe,Frankfurt,205,10.04
151.145.70.28,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,243,10.04
158.101.143.49,2096,2096,TRUE,NRT,Asia Pacific,Tokyo,109,10.02
131.186.63.35,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,123,10.01
141.144.229.189,443,443,TRUE,FRA,Europe,Frankfurt,178,10.01
152.70.107.26,2087,2087,TRUE,SIN,Asia Pacific,Singapore,175,10
144.21.32.193,2053,443,TRUE,AMS,Europe,Amsterdam,188,9.99
152.70.106.195,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,161,9.98
141.147.112.81,443,443,TRUE,FRA,Europe,Frankfurt,175,9.98
141.147.42.210,443,443,TRUE,FRA,Europe,Frankfurt,185,9.97
168.138.205.38,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,147,9.97
151.145.74.199,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,196,9.97
168.138.208.17,80,80,FALSE,NRT,Asia Pacific,Tokyo,133,9.96
150.230.97.239,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,127,9.95
141.147.37.14,443,443,TRUE,FRA,Europe,Frankfurt,165,9.94
129.151.134.185,443,443,TRUE,HKG,Asia Pacific,Hong Kong,129,9.94
130.162.175.236,443,443,TRUE,FRA,Europe,Frankfurt,239,9.94
168.138.206.68,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,146,9.93
141.147.174.190,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,201,9.93
158.101.142.103,2082,2082,FALSE,SIN,Asia Pacific,Singapore,204,9.92
141.147.189.242,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,147,9.92
141.144.248.59,443,443,TRUE,FRA,Europe,Frankfurt,190,9.91
151.145.75.28,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,77,9.91
132.145.114.250,2052,2052,FALSE,NRT,Asia Pacific,Tokyo,80,9.91
158.178.151.197,443,443,TRUE,FRA,Europe,Frankfurt,176,9.9
168.138.202.145,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,80,9.88
158.101.148.221,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,187,9.87
84.235.173.8,443,443,TRUE,FRA,Europe,Frankfurt,180,9.87
141.147.4.80,443,443,TRUE,FRA,Europe,Frankfurt,202,9.87
152.70.102.124,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,145,9.86
132.145.121.123,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,138,9.86
158.101.152.221,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,150,9.86
141.147.169.131,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,94,9.84
131.186.44.38,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,257,9.83
141.147.160.221,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,129,9.83
152.70.106.185,80,80,FALSE,HKG,Asia Pacific,Hong Kong,158,9.83
168.138.200.155,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,148,9.82
132.145.120.197,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,141,9.81
141.144.195.246,443,443,TRUE,FRA,Europe,Frankfurt,186,9.81
152.70.98.174,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,141,9.81
141.147.174.7,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,148,9.81
150.230.105.228,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,137,9.81
150.230.105.179,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,211,9.8
150.230.207.53,2082,2082,FALSE,NRT,Asia Pacific,Tokyo,79,9.8
168.138.202.169,2095,2095,FALSE,NRT,Asia Pacific,Tokyo,75,9.8
158.101.150.74,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,147,9.8
152.70.104.69,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,140,9.78
141.148.239.84,443,443,TRUE,FRA,Europe,Frankfurt,208,9.76
150.230.212.213,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,200,9.75
150.230.208.83,80,80,FALSE,HKG,Asia Pacific,Hong Kong,141,9.75
130.61.192.181,443,443,TRUE,FRA,Europe,Frankfurt,178,9.74
131.186.63.184,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,158,9.74
151.145.65.203,2095,2095,FALSE,HKG,Asia Pacific,Hong Kong,147,9.74
158.101.140.154,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,141,9.73
158.101.158.238,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,158,9.73
150.230.97.239,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,154,9.73
158.101.159.181,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,186,9.7
130.162.161.112,443,443,TRUE,FRA,Europe,Frankfurt,180,9.7
132.145.121.242,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,153,9.68
131.186.47.255,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,158,9.68
84.235.172.164,443,443,TRUE,FRA,Europe,Frankfurt,197,9.67
141.147.164.153,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,88,9.67
84.235.172.154,443,443,TRUE,FRA,Europe,Frankfurt,171,9.67
141.147.13.115,443,443,TRUE,FRA,Europe,Frankfurt,171,9.67
131.186.43.107,8080,8080,FALSE,HKG,Asia Pacific,Hong Kong,142,9.67
158.101.159.212,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,140,9.67
151.145.75.28,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,81,9.67
141.147.169.131,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,137,9.66
158.101.145.246,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,145,9.66
151.145.68.166,80,80,FALSE,HKG,Asia Pacific,Hong Kong,149,9.65
131.186.37.69,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,94,9.64
158.101.140.255,80,80,FALSE,HKG,Asia Pacific,Hong Kong,140,9.62
150.230.197.156,80,80,FALSE,NRT,Asia Pacific,Tokyo,84,9.61
158.101.133.129,2086,2086,FALSE,NRT,Asia Pacific,Tokyo,95,9.59
130.162.191.187,443,443,TRUE,FRA,Europe,Frankfurt,173,9.58
151.145.71.127,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,138,9.58
131.186.37.191,80,80,FALSE,HKG,Asia Pacific,Hong Kong,142,9.57
158.101.133.129,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,76,9.56
158.101.155.158,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,193,9.56
158.178.158.195,443,443,TRUE,FRA,Europe,Frankfurt,170,9.56
158.101.149.122,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,136,9.56
131.186.37.191,2052,2052,FALSE,HKG,Asia Pacific,Hong Kong,195,9.55
132.145.121.247,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,189,9.55
141.147.16.152,8443,443,TRUE,FRA,Europe,Frankfurt,164,9.55
141.147.169.131,8443,8443,TRUE,NRT,Asia Pacific,Tokyo,128,9.52
131.186.44.38,80,80,FALSE,HKG,Asia Pacific,Hong Kong,144,9.5
141.147.22.21,443,443,TRUE,FRA,Europe,Frankfurt,177,9.5
168.138.206.236,2086,2086,FALSE,HKG,Asia Pacific,Hong Kong,160,9.5
150.230.204.117,2053,2053,TRUE,NRT,Asia Pacific,Tokyo,80,9.49
158.101.137.74,8880,8880,FALSE,LAX,North America,Los Angeles,183,9.48
168.138.208.164,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,208,9.48
141.147.45.33,443,443,TRUE,FRA,Europe,Frankfurt,205,9.48
152.70.106.195,80,80,FALSE,HKG,Asia Pacific,Hong Kong,168,9.47
150.230.201.63,2087,2087,TRUE,NRT,Asia Pacific,Tokyo,124,9.47
141.144.241.107,443,443,TRUE,FRA,Europe,Frankfurt,177,9.45
131.186.34.244,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,227,9.45
158.101.154.70,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,216,9.44
141.147.185.149,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,141,9.44
158.101.149.81,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,143,9.43
131.186.40.31,80,80,FALSE,HKG,Asia Pacific,Hong Kong,133,9.42
150.230.97.239,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,207,9.42
150.230.104.197,8880,8880,FALSE,NRT,Asia Pacific,Tokyo,104,9.41
